idcategoria,nome,descricao,data_criacao,data_atualizacao
87503,disponível,Aliquam enim deserunt.,2024-07-17,2023-12-13
72608,disponível,Eius velit quaerat mollitia.,2022-02-10,2022-06-06
67784,alugado,Cumque vel aperiam.,2022-12-07,2024-04-22
12963,reservado,Adipisci magni eius voluptas.,2022-08-16,2022-05-29
44222,reservado,Error enim dolorum iure.,2022-08-30,2022-12-16
76887,disponível,Consequuntur nemo pariatur.,2022-07-30,2023-08-06
89935,reservado,Sed aliquid beatae minima.,2022-12-27,2024-10-11
71595,alugado,Tenetur odio impedit natus.,2021-12-15,2024-07-19
89101,alugado,Doloremque atque vitae.,2023-05-26,2024-06-22
94772,alugado,Eum cupiditate odio saepe.,2023-01-15,2022-03-22
93287,alugado,Animi adipisci illo.,2022-01-15,2023-11-20
41291,alugado,Eum unde iusto.,2022-03-24,2024-11-18
37526,disponível,Molestiae tenetur vero.,2022-09-24,2024-02-25
1587,reservado,Placeat veniam earum impedit.,2022-10-01,2022-03-27
8105,alugado,Pariatur labore ad occaecati.,2024-08-11,2022-10-06
50915,alugado,Placeat ab in iste.,2022-04-01,2022-08-31
54252,alugado,Ipsum dolorem minus illum.,2023-05-28,2023-12-01
10607,disponível,Illum eligendi neque.,2023-12-01,2022-06-12
87459,alugado,Esse impedit recusandae.,2023-12-05,2023-05-07
44666,reservado,Animi minus nisi commodi sed.,2024-01-13,2022-05-15
16737,alugado,Cumque doloribus accusantium.,2022-06-25,2022-05-06
86448,disponível,Cumque quidem saepe quidem.,2023-09-22,2022-10-16
81597,disponível,Amet temporibus beatae.,2022-06-01,2024-07-29
80603,disponível,Nobis nulla aut vero nulla.,2022-07-16,2022-12-30
50864,alugado,Voluptate velit laudantium.,2023-03-22,2024-11-16
74718,disponível,Nostrum tempore atque ex.,2024-08-14,2022-05-26
12495,disponível,Molestiae fugiat nemo.,2022-12-06,2022-10-05
36331,disponível,Ut soluta iure.,2022-10-18,2022-08-08
49434,alugado,Soluta libero doloribus sed.,2023-07-29,2022-07-22
18205,disponível,Sunt incidunt corrupti.,2023-08-15,2024-08-17
23709,disponível,Maxime quidem aperiam.,2023-02-15,2024-02-10
8937,alugado,Commodi sequi ea.,2024-01-23,2022-11-08
42146,disponível,Laboriosam rem mollitia quam.,2024-03-28,2023-10-02
10239,disponível,Veniam consectetur id vero.,2023-10-01,2021-12-06
63245,reservado,Nemo quia deserunt.,2022-02-13,2022-07-21
5466,alugado,Quaerat architecto in.,2021-11-25,2024-06-28
2706,alugado,Cupiditate dolores id quam.,2024-04-01,2023-02-25
64586,disponível,Ducimus nam natus eligendi.,2022-02-06,2024-02-24
5526,reservado,Blanditiis voluptatem quis.,2024-01-03,2024-07-02
28006,disponível,Quaerat velit nostrum ipsam.,2023-05-04,2023-09-25
65163,reservado,Ipsa assumenda illum.,2022-03-11,2024-09-23
55492,disponível,Explicabo maxime minus iure.,2024-06-22,2022-06-12
57767,disponível,At impedit fugiat occaecati.,2023-02-21,2024-10-23
56182,reservado,Optio sint fuga culpa.,2022-12-08,2022-04-16
37798,reservado,Nulla sed maiores vel.,2022-02-02,2022-08-03
55253,alugado,Est quod fuga ipsa porro et.,2023-11-29,2022-09-16
63908,alugado,Mollitia quas doloremque.,2021-12-29,2021-12-26
45264,alugado,Hic voluptatibus fugit vitae.,2023-12-01,2023-12-17
66448,disponível,Illum ea modi ut.,2024-01-21,2022-03-11
62239,disponível,Illo quae quasi.,2024-10-09,2022-05-27
34140,reservado,Natus a dolores.,2023-05-31,2021-12-09
58266,reservado,Fugit esse neque.,2022-12-29,2023-05-20
63769,alugado,Dolore quaerat temporibus.,2022-02-05,2023-09-20
63648,disponível,Delectus placeat quia.,2022-11-28,2024-05-30
52416,alugado,Amet perspiciatis similique.,2024-04-01,2022-06-18
78357,alugado,Sequi aliquid blanditiis.,2022-04-27,2022-06-24
50735,reservado,Soluta quaerat tempora alias.,2023-12-18,2023-02-28
96887,reservado,Recusandae veniam modi vel.,2024-06-06,2024-07-31
6236,disponível,Ratione praesentium optio.,2022-10-08,2023-06-19
27975,alugado,Enim magnam voluptate ad non.,2022-10-27,2023-02-07
43552,disponível,Ad voluptates nostrum.,2022-05-08,2024-05-12
54088,disponível,Nemo illo quibusdam modi.,2024-10-24,2024-02-05
22187,disponível,Veritatis quod ratione eius.,2022-07-02,2023-01-21
25741,reservado,Odit sit quo nihil.,2023-02-14,2023-07-21
30615,disponível,Nemo magnam sit.,2022-10-26,2022-05-20
61913,reservado,Deserunt quas porro non.,2022-08-30,2023-06-25
82003,reservado,Voluptates architecto quod.,2023-07-03,2024-04-02
12712,reservado,Tempora fugiat quod et eos.,2022-07-15,2022-04-22
96664,disponível,Suscipit eius dicta eum.,2022-02-18,2022-01-30
88027,reservado,Rerum quae odit vitae.,2021-12-07,2024-07-03
30643,reservado,At sed esse.,2022-10-18,2021-12-16
40384,alugado,Est soluta molestiae eaque.,2024-10-27,2024-05-13
68531,reservado,Ipsa suscipit iusto expedita.,2022-03-06,2023-07-12
18732,disponível,Dolore minus sunt alias.,2024-03-13,2023-01-23
94712,alugado,Dolor aperiam a soluta.,2023-11-25,2022-07-08
3606,alugado,Nobis asperiores vero rem.,2023-08-18,2022-05-21
3124,reservado,Esse consequatur doloribus.,2022-04-06,2023-07-27
65191,alugado,Soluta eos amet.,2022-03-26,2022-05-18
23120,reservado,Corporis modi ipsam.,2024-10-21,2021-12-15
52982,disponível,Nobis voluptas sequi libero.,2022-04-16,2024-07-01
21806,reservado,Doloremque ducimus magni.,2023-02-05,2023-10-04
39713,disponível,Corrupti quis eum placeat.,2024-02-28,2024-09-27
67789,reservado,Nemo eum nisi at.,2023-12-11,2022-05-13
22988,alugado,Mollitia itaque nisi esse.,2022-10-02,2024-04-28
41962,alugado,Ipsum et deleniti.,2023-09-23,2023-10-07
25053,reservado,Animi alias ipsum assumenda.,2022-05-13,2023-06-25
85132,reservado,Reiciendis enim vero.,2022-07-15,2023-09-18
61090,alugado,Porro quia minus.,2023-12-09,2022-07-18
7825,disponível,Sit eos earum vitae nesciunt.,2024-08-01,2023-09-11
38135,disponível,Reiciendis dolore eligendi.,2024-09-21,2024-07-26
7301,alugado,Autem earum eligendi odit.,2024-01-30,2024-09-23
47209,disponível,Saepe dolore nisi nobis.,2024-05-11,2024-06-30
54322,alugado,Earum aperiam soluta dolores.,2024-05-08,2023-06-14
7572,reservado,Iusto cupiditate molestiae.,2023-06-21,2022-10-29
19323,alugado,Quam eos harum.,2022-11-14,2022-08-14
50069,alugado,Impedit aperiam perspiciatis.,2023-01-20,2024-09-15
70470,reservado,Unde delectus cumque labore.,2024-02-02,2023-11-30
50257,alugado,Ea sint quaerat itaque.,2024-03-22,2023-03-13
28746,reservado,Enim explicabo error illo.,2022-08-17,2023-04-22
27198,reservado,Assumenda non aperiam ex.,2022-06-23,2024-04-06
47478,reservado,Ipsum similique vitae autem.,2023-12-04,2023-04-22
34943,alugado,Quisquam quasi itaque.,2022-12-02,2023-01-15
25183,alugado,Sequi ut ipsam earum autem.,2022-02-03,2023-05-01
61670,alugado,Tenetur adipisci minus.,2023-11-06,2022-01-01
61652,reservado,Ab vitae dicta maiores.,2022-08-27,2022-03-02
77206,alugado,Adipisci cupiditate eum odit.,2022-12-14,2024-01-25
6451,alugado,Optio suscipit id est hic.,2022-09-04,2024-05-25
81874,disponível,Quis earum vitae tenetur.,2023-01-04,2024-03-13
7931,alugado,Exercitationem eaque laborum.,2022-08-20,2024-04-23
12982,disponível,Ipsa similique quis.,2024-10-23,2023-11-28
42073,reservado,Porro eius maxime.,2024-03-16,2023-03-06
80793,disponível,Beatae repellendus minus.,2023-12-29,2023-08-16
56385,alugado,Nisi vero saepe.,2023-07-02,2023-05-25
76277,reservado,Error quas ut.,2021-12-02,2023-02-17
95347,disponível,Dicta nostrum nulla unde.,2023-04-14,2024-03-16
84984,disponível,Quod sequi quam qui.,2024-04-02,2023-06-03
48268,reservado,Ut iste nam.,2024-04-13,2024-10-31
45215,reservado,Porro ipsum repellendus non.,2023-12-02,2023-07-20
42800,alugado,At ipsam impedit cupiditate.,2023-10-16,2024-11-22
94149,alugado,Nam hic sit eaque.,2022-04-10,2023-10-09
67114,alugado,Ut quidem earum neque.,2022-01-21,2023-06-29
90281,disponível,Sed eum rem. Ullam unde vel.,2023-08-12,2022-11-16
29823,disponível,Natus ipsa reprehenderit.,2024-10-30,2022-08-05
90241,reservado,Cumque delectus nesciunt eos.,2024-05-10,2024-02-07
84241,alugado,Fuga blanditiis esse ad.,2023-07-17,2022-01-01
17348,disponível,Placeat adipisci aspernatur.,2023-11-23,2024-03-18
85475,reservado,Earum consequuntur sequi.,2023-01-20,2024-03-31
88261,alugado,Sequi sit dolorem.,2024-06-01,2023-10-18
51654,alugado,Dignissimos similique quidem.,2023-08-10,2023-11-15
67189,disponível,Labore ad quos explicabo.,2022-06-29,2024-11-14
21998,alugado,Est cupiditate sed harum.,2022-06-04,2022-03-14
21761,alugado,Nam quo quia.,2022-12-03,2022-12-28
9806,alugado,Voluptas eos ipsam itaque.,2023-12-05,2023-10-21
70265,disponível,Maiores error repudiandae.,2023-10-07,2023-10-12
71041,alugado,Consequatur facilis impedit.,2023-04-03,2024-11-02
58415,reservado,Commodi libero laudantium.,2024-01-24,2024-06-16
16480,disponível,Eum veniam totam quam totam.,2021-12-22,2023-05-21
59898,reservado,Quia eaque alias culpa.,2023-03-02,2023-04-26
98572,reservado,Omnis a facilis.,2024-05-08,2022-07-28
51149,alugado,Ipsam a dolorem quod velit.,2023-05-23,2022-03-09
46853,disponível,Rem sequi in tempore.,2023-12-05,2024-04-17
26904,alugado,Vel quasi unde cumque eius.,2022-12-30,2022-05-27
19349,alugado,Alias a iste.,2023-10-16,2023-04-20
1773,reservado,Dicta officiis optio.,2024-08-04,2024-02-08
75304,reservado,Tempore qui aspernatur ea.,2024-10-24,2022-02-11
93924,disponível,Asperiores alias quibusdam.,2022-04-02,2024-08-27
97930,disponível,Molestiae saepe possimus.,2022-03-17,2024-01-02
84216,alugado,Odit maiores et sint.,2022-09-19,2022-11-24
31822,disponível,Sit error aliquid nulla.,2024-04-20,2023-02-02
31087,disponível,Ea veritatis et officia.,2024-08-11,2023-04-05
68818,alugado,Enim sapiente veritatis.,2022-07-03,2024-04-04
28167,reservado,Nostrum debitis amet ex est.,2022-11-17,2023-08-04
46560,reservado,Odio sit est.,2022-08-29,2024-07-04
40414,reservado,Delectus sequi enim sit.,2023-01-19,2024-08-04
71173,disponível,Quo quasi voluptatum modi.,2022-03-16,2023-08-08
12074,alugado,Culpa totam quas vitae.,2022-01-17,2023-02-09
16543,alugado,Saepe veniam culpa eveniet.,2022-04-04,2023-09-08
22796,reservado,Nobis saepe aperiam nam.,2024-10-09,2022-07-04
91518,reservado,Aut ipsum ducimus nobis.,2024-10-02,2023-11-11
52376,reservado,Quaerat dolorem cum.,2022-01-14,2023-04-14
78150,reservado,Nobis incidunt dolorum a.,2022-07-26,2024-07-29
33819,disponível,Ducimus quasi perferendis.,2023-05-02,2022-10-27
66410,alugado,A sunt corporis dicta.,2023-02-01,2022-04-04
45041,disponível,Deleniti iure hic enim atque.,2024-01-21,2024-02-01
6948,reservado,Labore autem harum illo.,2023-12-12,2022-11-27
47362,disponível,Iure sit et voluptatum animi.,2024-07-23,2021-12-26
99285,disponível,Eos illum at deserunt.,2022-10-08,2023-07-11
66079,alugado,Porro cum id quos.,2022-11-02,2023-10-06
85016,alugado,Vero unde porro velit rem.,2023-06-03,2022-05-12
21907,disponível,Alias sint iure autem ex.,2022-01-17,2022-05-01
10922,alugado,Occaecati ad dolor eos.,2022-11-29,2024-11-16
95031,alugado,Quidem molestias quam.,2024-01-06,2022-08-11
55275,alugado,Molestias et numquam minus.,2022-03-14,2022-11-13
18612,alugado,Accusamus impedit a quo.,2022-05-08,2024-05-16
14012,disponível,Iusto consequatur ipsa.,2022-07-09,2022-09-06
66227,alugado,Animi quo eos tempore.,2024-01-20,2021-12-19
68480,disponível,Quasi ex cumque.,2023-02-16,2022-12-08
20750,disponível,Vel quia natus iure.,2022-08-15,2022-11-02
3552,alugado,Accusamus quasi dolor.,2022-10-19,2022-12-31
