idcidade,nome,estado
76351,Barros,Acre
4939,Pinto das Flores,Amapá
81633,Cassiano da Mata,Goiás
48244,Rodrigues de Pimenta,Pará
49739,Vargas,Roraima
61253,Siqueira de Moraes,Pará
42242,Moura do Galho,Rondônia
17084,Monteiro,Paraíba
51884,Pires da Praia,Piauí
41118,Ribeiro,Rio Grande do Sul
48944,Dias de Monteiro,Maranhão
53216,Azevedo Paulista,Pará
96776,Souza de Nunes,Amazonas
50395,da Rosa,Tocantins
91233,Borges,Piauí
51367,da Cunha de Rocha,Espírito Santo
90907,Dias das Pedras,Alagoas
49203,Martins do Campo,Espírito Santo
90194,Martins Alegre,Bahia
53718,Barros do Norte,Paraná
90794,Dias,Rio Grande do Norte
37971,Caldeira,Maranhão
66178,Moreira das Flores,Amapá
10348,Correia,Pernambuco
38616,Guerra do Amparo,Minas Gerais
83332,Correia,São Paulo
10968,Dias,Distrito Federal
26713,Sales,Santa Catarina
96447,Garcia Grande,Bahia
97444,Sousa,Paraíba
5082,Pimenta Paulista,Minas Gerais
4721,Farias,Espírito Santo
14360,Moraes,Maranhão
87794,Ramos,Ceará
65755,da Rocha,Alagoas
92335,Peixoto de Moreira,São Paulo
91669,Porto Verde,Pará
88672,das Neves,Rio Grande do Norte
61120,da Conceição,Mato Grosso
30800,Azevedo,Bahia
64621,Ramos do Oeste,Mato Grosso
90244,Gomes de Aparecida,Sergipe
21818,Nogueira,Rio Grande do Norte
82792,Machado,Distrito Federal
81301,Cunha,Tocantins
2989,Rezende das Pedras,Rio Grande do Norte
89763,Sousa da Mata,Mato Grosso do Sul
55102,Vargas,Bahia
56790,Silva,Pernambuco
52736,Pimenta,Pernambuco
56426,Gonçalves Verde,Paraíba
22164,Cardoso,Paraíba
28544,Alves de Martins,Ceará
7842,Dias da Prata,Mato Grosso
66132,Nogueira,São Paulo
49923,Oliveira,Pernambuco
37205,Gonçalves das Pedras,Mato Grosso
79945,Azevedo,Ceará
53649,Teixeira das Flores,Pará
54938,Sampaio,Pará
4391,Viana do Campo,Minas Gerais
66892,Câmara,São Paulo
11050,Leão de Minas,Alagoas
90790,Pires,Amazonas
60595,da Rocha da Serra,Paraíba
42341,Machado da Prata,Minas Gerais
42274,Rodrigues,Amapá
9433,Garcia,Rio Grande do Sul
66306,Sampaio de Pires,Rio de Janeiro
90025,Cunha,Pará
34571,Alves,Roraima
23242,Novaes de Goiás,Roraima
74536,Peixoto da Praia,Piauí
12409,Barbosa Verde,São Paulo
65056,Melo do Galho,Mato Grosso
10737,Nascimento de Garcia,Maranhão
