idestado,nome_estado,sigla_estado
84119,Mato Grosso,MA
69154,Espírito Santo,RR
39937,Alagoas,CE
33882,Tocantins,SP
84033,Bahia,CE
68410,Bahia,RO
76940,Pernambuco,RN
30774,Tocantins,PI
54264,Minas Gerais,CE
63993,Mato Grosso do Sul,RJ
13429,Rio Grande do Sul,PA
14381,Paraná,TO
47834,Rondônia,AP
79390,Amazonas,MG
42974,Piauí,MG
42866,Rio de Janeiro,SC
11038,São Paulo,AL
39112,Minas Gerais,PE
1594,Amapá,SE
19422,Amazonas,MS
28736,Santa Catarina,AL
45956,Minas Gerais,BA
94024,Rio de Janeiro,SC
35897,Espírito Santo,RO
30130,São Paulo,PE
90848,Tocantins,CE
69342,Distrito Federal,RO
53499,Rio Grande do Sul,GO
78936,Mato Grosso,AM
3064,Piauí,DF
61585,Paraná,RJ
63833,Mato Grosso,SP
3502,Ceará,RJ
82417,Rio Grande do Norte,AL
68747,Rio Grande do Norte,SE
10840,Santa Catarina,MA
67128,Alagoas,GO
95933,Alagoas,RO
67993,Pará,SP
5880,Maranhão,AM
98461,Rio Grande do Sul,MS
98422,Amapá,BA
95782,Roraima,SP
72308,Mato Grosso do Sul,TO
5363,Rondônia,MG
50187,Amapá,RN
41986,Rio Grande do Sul,PB
18685,Sergipe,SE
85804,Rio Grande do Norte,DF
73872,Pernambuco,DF
81716,Rio Grande do Sul,PA
99993,Distrito Federal,TO
70240,Distrito Federal,AL
23532,Amazonas,AM
29791,Rio Grande do Sul,MG
94076,Ceará,MG
60792,São Paulo,BA
50168,Goiás,AM
74829,Maranhão,MS
1535,Rondônia,AM
86449,Rondônia,MA
76726,Roraima,TO
46722,Sergipe,DF
32402,Sergipe,MS
90120,Ceará,PR
80348,Sergipe,SP
38834,Rio Grande do Sul,PB
30784,Tocantins,PA
91736,Distrito Federal,AP
67605,Rio Grande do Sul,DF
111,Tocantins,PR
97357,Distrito Federal,RJ
78085,São Paulo,RR
59100,Rondônia,AL
35278,Mato Grosso,RO
94656,Bahia,BA
61131,Ceará,PB
14027,São Paulo,BA
77359,Rio Grande do Norte,PR
64263,Acre,SC
29435,Tocantins,AP
95878,Rio Grande do Sul,TO
3310,Distrito Federal,AC
61533,Rio Grande do Norte,AL
25653,Mato Grosso do Sul,SE
68816,Tocantins,MS
43691,Amapá,SE
99043,Paraná,MG
59158,Rio Grande do Norte,MG
40451,Rondônia,ES
22325,Rondônia,AC
17705,Mato Grosso do Sul,PE
1733,Pernambuco,SC
75088,Rio Grande do Norte,RR
31853,Rondônia,RS
85361,Acre,MT
55777,Santa Catarina,BA
62030,Alagoas,RS
55601,Rio de Janeiro,AC
35230,Paraíba,PI
4577,Amapá,PB
84962,Minas Gerais,MA
87371,Paraíba,MS
20424,Espírito Santo,MT
1251,Pará,BA
85413,Espírito Santo,TO
43144,Sergipe,RJ
91541,São Paulo,MT
95907,Mato Grosso,RO
32244,Roraima,SP
56504,Pará,PE
95708,Rio Grande do Sul,DF
67634,Santa Catarina,AC
96439,Espírito Santo,RS
93907,Piauí,AP
80298,Sergipe,MA
52946,Amazonas,PI
50714,Mato Grosso do Sul,SP
26920,Rio Grande do Norte,RN
26327,Rio de Janeiro,BA
19963,Rio Grande do Norte,SP
61359,Minas Gerais,SP
89891,São Paulo,AL
62642,Mato Grosso,SE
27503,Amapá,AP
93519,Maranhão,MG
58093,Bahia,PB
83267,Rio de Janeiro,PI
63380,Roraima,PE
90682,Ceará,SC
39726,Amazonas,CE
59545,Alagoas,MA
10453,Minas Gerais,DF
12449,Ceará,GO
77728,Bahia,SP
78872,Goiás,AC
9462,Roraima,PB
36238,Tocantins,MS
47644,Paraná,AL
75721,Acre,AM
2607,Espírito Santo,RN
11197,Pará,RS
3679,Maranhão,RJ
90636,Distrito Federal,AC
67770,Goiás,PB
7228,São Paulo,PE
6434,São Paulo,SC
75123,Paraná,MG
48832,Amapá,PB
96098,Rio Grande do Sul,SP
10618,Santa Catarina,MS
18496,Pará,RN
86553,Rio Grande do Sul,AL
83013,Pernambuco,PB
67277,Alagoas,PE
4960,Ceará,DF
56161,Paraíba,ES
58545,Amapá,PA
54721,Mato Grosso,RJ
81107,Sergipe,SE
61601,Rondônia,PA
58885,Roraima,GO
65140,Tocantins,AP
25420,Pará,BA
48703,Ceará,PA
29699,Ceará,RO
90645,Rio Grande do Sul,SC
47187,Amazonas,PA
70372,Mato Grosso,RR
96730,Sergipe,BA
87037,Pará,RS
62206,São Paulo,PI
17224,Piauí,RN
12171,Goiás,PA
30886,Piauí,TO
39605,Tocantins,PE
12921,Bahia,MG
43189,Mato Grosso,BA
51327,Paraná,AP
36277,Ceará,RN
5597,Distrito Federal,PE
22513,Acre,RN
9596,Rio de Janeiro,PR
22565,Pernambuco,ES
43812,Espírito Santo,RN
20369,Roraima,PI
54655,Santa Catarina,MG
56393,Roraima,AL
738,Mato Grosso,RN
53194,Santa Catarina,AM
11235,Goiás,RN
12259,Bahia,PB
37001,Alagoas,MT
56799,Tocantins,RO
55069,Sergipe,PI
58309,Tocantins,MT
43363,Sergipe,CE
37270,Pernambuco,ES
99135,Pará,RJ
42405,Amazonas,SE
20430,São Paulo,MT
90553,Sergipe,AC
74910,Pará,TO
74363,Piauí,TO
19384,Alagoas,PI
58086,Pernambuco,MT
90507,Rio Grande do Norte,PI
59141,Rio Grande do Sul,RJ
9742,Maranhão,RN
74707,Ceará,SE
74666,Rio Grande do Norte,RR
99997,São Paulo,MS
62663,Pará,SP
76639,Goiás,MS
62725,Pernambuco,MA
9492,Mato Grosso do Sul,MA
82631,Santa Catarina,SP
48966,Pernambuco,GO
98125,Bahia,PE
39265,São Paulo,PI
96692,Roraima,AL
72341,Distrito Federal,RN
77578,Amapá,AP
52731,Piauí,AP
29797,Bahia,PB
87309,Acre,AM
8996,Paraná,SC
8174,Roraima,RJ
82274,Roraima,RO
90169,Maranhão,AL
5562,Santa Catarina,PE
78487,Sergipe,PA
6278,Sergipe,AP
41168,Rio Grande do Norte,RO
60755,Minas Gerais,CE
64663,Bahia,RJ
64995,São Paulo,MG
1031,Mato Grosso do Sul,BA
85416,Minas Gerais,RS
40630,Pernambuco,PE
17957,São Paulo,RN
6816,Pará,TO
98336,São Paulo,RS
