idlocalizacao,cep,numero_imovel,complemento,referencia,cidade,categoria
48075,70882231,6855,Casa,Quasi voluptatum.,Pacheco,reservado
94211,21947-481,1392,Casa,Quos.,Fernandes,reservado
41030,21349217,1290,Casa,Corrupti.,Ramos,disponível
27047,44100-079,5310,Bloco,Maiores labore.,Jesus de Siqueira,alugado
59203,44953642,6045,Edifício,Odio perferendis.,Oliveira,reservado
17873,93232-650,1359,Casa,Excepturi.,Gomes dos Dourados,alugado
89252,39559812,7438,Bloco,Sunt quos.,Freitas do Galho,alugado
37414,71749-412,895,Apto,Vero.,Duarte,alugado
26341,29219127,7160,Apto,Id.,Pastor Alegre,disponível
10979,47609934,6403,Edifício,Laboriosam.,Lima do Amparo,disponível
56173,84917-535,4209,Casa,Dolorem.,Barros do Sul,reservado
86002,82982-683,3197,Casa,Odio.,Sousa de Freitas,reservado
49237,48467-736,1296,Casa,Repudiandae.,Brito de Cunha,disponível
77803,72819-720,7545,Edifício,Saepe dignissimos.,da Luz,reservado
96899,97726012,2100,Apto,Ab veniam.,Costa de Minas,disponível
35648,61280003,5566,Casa,Dolorem.,Almeida do Campo,reservado
16985,25220-417,9296,Bloco,Optio nam.,Ferreira,disponível
1584,12139278,5980,Edifício,Occaecati vero.,Barbosa,reservado
11474,89452033,3928,Apto,Fugiat.,Viana das Flores,disponível
941,31547176,1336,Casa,Mollitia.,da Cunha Paulista,disponível
37067,77363871,9287,Edifício,Illo.,Mendonça do Amparo,reservado
36652,21545587,3703,Edifício,Numquam rerum.,Cardoso Alegre,disponível
94800,39013-562,7522,Apto,Repellendus natus.,Barros,disponível
37349,76174-327,7420,Casa,Blanditiis excepturi.,Souza,alugado
82657,55665997,1278,Bloco,Eligendi.,Fogaça,reservado
44864,89325690,8774,Edifício,Aliquid dolor.,Lopes Grande,alugado
35722,89595-397,1912,Edifício,Velit.,Mendonça do Norte,alugado
31043,51214-666,7406,Apto,Ducimus ad.,Cavalcanti Alegre,disponível
45398,73220527,843,Casa,Porro.,Alves,disponível
72386,57479556,883,Bloco,Recusandae.,Moraes,disponível
67187,52835276,5864,Edifício,Aspernatur.,Silveira,alugado
27838,39472-062,2006,Apto,Quo.,Rezende,alugado
76283,13371-054,3963,Edifício,Dicta dolorem.,Moura da Serra,disponível
